filename,text,label
01468.png,,Offensive
01475.png,"last time muslims
invatled europe

=~ 2
A

vlad stuck poles up their
asses and, mate a fucking forest

ne like viad",Offensive
01436.png,"when the school ston
accidently shoots the autistic Kid
but doesnitknow that the tanto.

Strengthimakes him imperviousitom:
bullets",Offensive
01439.png,"tie

Peintongland strong",Negative
01472.png,"fs Lf
ercountries i am also free,towear it if i want to",Positive
01469.png,"when you punch the muslim kit so hard that he starts having
seizures and fucking dies =

SResiap hit

seen defused",Offensive
01456.png,,Offensive
01492.png,"Idontiihe the stm

iweara visof,",Negative
01487.png,,Offensive
01547.png,,Positive
01564.png,from Ramil rd,Offensive
01526.png,Ney intalvag now!that will be $0.15,Positive
01498.png,"democrats claimdacakids
shouldn't have to pay tor
their parent's crimes:.

..DUt white people are
Still responsible for 17th
century slave owners?",Negative
01568.png,"has or coli [d-infijtrate our
yaverment 299",Negative
01497.png,"now back toptie
islamic classieesss",Offensive
01529.png,,Positive
01569.png,WHEDON cantdeciie to Dralisat the oven,Positive
01524.png,"When you catch your
goat with another man",Negative
01548.png,"i) he aceitlentally to!
€) foo usetiithe lastot
ti) homie said ""i go",Positive
01576.png,,Negative
01578.png,,Offensive
01579.png,bacon anierica great again!,Negative
01598.png,"‘and hav

eno clue what youre mad ahourt

as",Positive
01627.png,"COOOU ee

e outiniiessun
Sturensigon

Stofjein)alcooltdank
Dlace fons days)",Offensive
01634.png,"aye tone! why would dey ne

ve E 4

edt

if dey was just gonna whack ‘em:",Negative
01637.png,"iiiis tie ests

VOUME MONG eK",Negative
01642.png,"it black neople could
reat",Offensive
01643.png,Mivishavowisiilack,Negative
01649.png,"they Graduatepolicelacalemy,

eo cons whenthe:

forth! let murder te tone upon him!",Offensive
01734.png,,Negative
01698.png,work ac aeRee myass,Offensive
01742.png,"irom I:

mc it

In ist one i

'
at",Positive
01736.png,"wie NO.oV c

Che-nocoverage",Negative
01658.png,,Offensive
01653.png,"AGitIASKSMerMmOneswliyjani i Ute

/

_ ,
she says, ""the waythatpaniyiwent, you're lucky ». hark.”",Negative
01682.png,"nd Yestthatsmork in th

quran",Offensive
01726.png,loads the qIShWaShenr every nignt,Positive
01694.png,,Offensive
01672.png,fits i| call of duty comes out,Positive
01765.png,"after a girl dies, what organinter body stays warm?",Offensive
01794.png,"ie Rehuldren

MUNN",Offensive
01823.png,"t0o.was once a male
trapped in.afemale's hotly",Negative
01749.png,"cannabis is dangerous and @A
pharmaceuticals are good for you",Negative
01756.png,,Positive
01746.png,,Positive
01793.png,"i'm only watering
_~ my muslims",Offensive
01796.png,,Offensive
01743.png,sen mitt romney,Negative
01763.png,want a spin?,Positive
01835.png,"thatmakes

‘mmy.atiyiunk tingle",Negative
01827.png,"ifyour man is offended by

*-*ihis then he's never been hung .",Negative
01829.png,"iit: the dishwasher ts acting weir
her whats it doing
NIMACHONMINGMUCGKINGWegetalles",Positive
01865.png,"Hothmy: harents
jj \are White",Offensive
01836.png,"can you hear me at the back?

a",Offensive
01892.png,"* :
x roposed to helpjusitig out of
‘+ the financial crisisithey caused

""

7 \ (livided the country",Negative
01845.png,Whenjyoulconsume toomuch fat,Negative
01842.png,kinda likelyourmouth,Negative
01875.png,,Offensive
01854.png,,Offensive
01835.png,"thatmakes

‘mmy.atiyiunk tingle",Negative
01827.png,"ifyour man is offended by

*-*ihis then he's never been hung .",Negative
01829.png,"iit: the dishwasher ts acting weir
her whats it doing
NIMACHONMINGMUCGKINGWegetalles",Positive
01865.png,"Hothmy: harents
jj \are White",Offensive
01836.png,"can you hear me at the back?

a",Offensive
01892.png,"* :
x roposed to helpjusitig out of
‘+ the financial crisisithey caused

""

7 \ (livided the country",Negative
01845.png,Whenjyoulconsume toomuch fat,Negative
01842.png,kinda likelyourmouth,Negative
01875.png,,Offensive
01854.png,,Offensive
01962.png,"put makeup for

PEN

sage

my profile photo",Positive
01972.png,you ton't have a cat?,Positive
02153.png,"— When you're arguing with someone

and trying notto.hitthem",Positive
02145.png,anutheniaskedimonswhats fordinner?,Positive
02146.png,"HOTGHOLOM a? MGI MATTE tO Sihesrehy anlage...

for lelng writs",Offensive
01967.png,when you decitle to stop racism by burning its symbol,Negative
01974.png,"ee WOSIIED

sana

iagaSanil",Offensive
01975.png,,Offensive
02139.png,,Positive
02143.png,"ree hale foo,
THEN)

Ino of nuclear Weanons",Negative
02185.png,"weeeeeee!\back overthe order yougo!

J",Negative
02194.png,"when you rea good farmer

ob 4, sks i)

who raises healthy animals",Positive
02315.png,rm an asshole,Negative
02169.png,ashans sometimes sume to tulisereem vie,Offensive
02168.png,"how many fucking
(REOUTS
ae
>?

» A

tloiyou assholes have?",Negative
02157.png,"' * 17 a aa
don't sass mesyou Knowit's

funny! ~cupcakes",Offensive
02165.png,"helMiieErENncehetweenimotenatelnustin)
fantijratiicallmusiiti§

j

follow my allah or fh youl",Offensive
02158.png,"(hte my elfewrens

eld in captiniranitil i Pebead them",Offensive
02316.png,"they can kill the messenger

ey
a

$y

A b

but they cantki the message",Negative
02364.png,"ntan =

FS anistin his shon it

Ne

¢",Positive
02374.png,"but when ido, igo balls deep",Offensive
02356.png,T think i i dor arresiell io,Offensive
02351.png,"when karen helpsiu
camoutlaye the crackhouse",Offensive
02371.png,"WYO HEMEXIGANOOS
falii-mobile 100 “_ Imaooo",Offensive
02367.png,,Positive
02358.png,,Offensive
02365.png,"quick, which one is a bb gun?

ra
oons, (00 late... .you're dead",Offensive
02316.png,"they can kill the messenger

ey
a

$y

A b

but they cantki the message",Negative
02317.png,"| white trashioy
to hell trun
yo.to tell tril

Ronit",Offensive
02385.png,,Positive
02416.png,,Offensive
02431.png,"youtnaysomeniiere
“oto your. wife's)",Negative
02384.png,"in jen ier Ch
SOTO new!",Positive
02389.png,"democrat jan schakowsky dele nls
ilhan omar: she comes froma
= different culture’

SS 5

where they want to Kill
all the jews",Offensive
02439.png,but’no one ever passed,Positive
02381.png,"goihraces

friend told me: youire

so black even your
teeth are hehind bars",Offensive
02413.png,Women ask for equal righty,Offensive
02435.png,"ie | rugirg eee!
\— ull wen ol 4

whenjyou Riwneliniets Suuinert 3

‘ukivautocorrects to midget spinner.

ae",Offensive
02316.png,"they can kill the messenger

ey
a

$y

A b

but they cantki the message",Negative
02456.png,"ne neg ane ee ter ie us over

famtiveterans are all like... ""Wwakeme
uWwhen(can go fuck shitupant
NOtKgo to tail fonit”",Negative
02476.png,oD never doing,Positive
02457.png,"ihatewheniseeahlackouvimmyneightorhood —
butiistlllotiermyneighhorsa pam",Offensive
02461.png,"wheneveryou feel stupid,

GEON FORGE

yemeinherthis

°

rr",Negative
02481.png,"greeti ie tranny

time totlie",Offensive
02475.png,"S Si a, eh

5 “7
. * ‘

-_—-",Offensive
02471.png,WHEN VOUWalKintolthelweliareloiiice),Offensive
02478.png,"must. TESS, urge to..

Kill witite",Offensive
02467.png,"how ne did,.the

all

holo cost",Offensive
02459.png,"myclishwasheris)
aGung|strange)

ow” a

cananylodyhelp2",Positive
02483.png,"medditaranian sea by
italian coast guard",Negative
02537.png,"arres_ George,soros™ ,",Offensive
02497.png,,Negative
02536.png,"Wudaeialhe
<ton'tdrink",Positive
02538.png,,Negative
02518.png,a,Negative
02514.png,"@p
=
.—)
=
=
<
CS
”
(-U)
=
—
”
ae

who mak",Offensive
02543.png,"catch me outside
how houtdat

e

ill catch mam
self outside",Negative
02519.png,fits TUT hecanse he’s,Negative
02485.png,"itorture all my friends. it's how i show love.

i )",Positive
02581.png,MUSssie CN igi to rae me,Offensive
02561.png,"we are comin ngitorameri¢a”

os one wal oF arg am

ee ae — = ey
Wwe willrape, i
mec, real Navoc? Yee

on yournation while
Ce icaling.yourWelfare) pm",Offensive
02614.png,"4

black afiriend",Offensive
02594.png,"f

int pregnant!!!",Offensive
02571.png,,Negative
02548.png,"are youl

 /
looking atme? \ °",Positive
02576.png,or is@stiakes ma ‘,Negative
02584.png,"iihagine heihy so
disupsting thers
en a a ras}

S100)
qa 9",Offensive
02568.png,"WitatStielniiienencemetween
eroinfanti i>. cops}

aw

twice hetore AA heroin",Offensive
02613.png,"al aitery yn sex

Yas i",Offensive
02649.png,,Negative
02654.png,CaUINUHUNNTG,Positive
02657.png,"oh look someones
7",Negative
02691.png,Leachingihemhowtonunwyounsy),Negative
02634.png,"andijustlike that...
this sandwich:maker doubles

as an ironing hoard",Negative
02631.png,,Negative
02647.png,"hasyeen event about
the mueller report?",Offensive
02674.png,"$f

Wwentasjexpectet",Offensive
02687.png,"i hang a sock on my doorknob

~d

SO my roommate knows not to come in
hecauserimbusy fucking the other sock",Negative
02653.png,antl ei ii sia ah,Offensive
02763.png,,Offensive
02751.png,Gwhitetametieawasivetter es,Offensive
02768.png,,Negative
02716.png,,Negative
02769.png,mottier of god,Positive
02718.png,"kitithireatened tolholihisiireath
untillifgavelhimilessershesinownassed
Outonjthe|kitehenstloor,

i dont negotiate with terrorists

=
=",Positive
02719.png,"44

-alter,youcalledthe cons .",Offensive
02735.png,"arene letter
Svan Enital clisonder

~
Wa
a, PF

—o Ra",Positive
02764.png,"youdonthay Hiome
Be iilit you cant stay here>",Negative
02761.png,"HS ON

ididn't mean to hurt your
feelings",Negative
02831.png,,Offensive
02816.png,,Offensive
02841.png,,Negative
02789.png,,Negative
02795.png,as acatlemyy,Positive
02814.png,,Positive
02793.png,Sed oes,Offensive
02845.png,"ihgoats)
imal",Offensive
02815.png,"how do 1 Iie iy engs2
2
SeNEN® ess 1 NNT COON EOFs

In@anticesoo eannd] sceppanrenticescy
fitrcooon Ciha@ veiniticss",Offensive
02783.png,they} aon AR Tea Ie they acett to),Offensive
02846.png,,Negative
02863.png,"whiteimen/are the

except for my
white hoyfriend",Offensive
02894.png,"HOW ig htate|yOUR

nooiticer, tSehi how -
are you""?

1",Positive
02857.png,IOVENIWHEN|WomeEnlgo)to}school:,Offensive
02854.png,,Offensive
02891.png,"look!
e
a blow union",Offensive
02849.png,"™ ahharee

CG

Canirvyy",Offensive
02876.png,,Offensive
02853.png,"hi isin can rad ims
lt

are DOLIeHTOs

ckillvall non ete OT
iSislal",Offensive
01324.png,t train robhers 4 j,Negative
01247.png,"je racist if
other race",Offensive
01395.png,,Offensive
01243.png,"when your humansays:
_ ‘“who>sa good gira.
Lh « 79

and. you already Know it's you",Positive
01423.png,A ALONG Mayonmudding,Negative
01284.png,,Offensive
01546.png,,Offensive
01382.png,my body my choice,Negative
01258.png,,Offensive
01379.png,"> american teenagerlgirl
4 —_

visiting the children of africa

e4",Negative
98734.png,"things white people do

xyes
6 € Mass sp
: SS Shon
roa roan HACKS a ‘) Ming
‘Smok
. em
gyeranionals ' lh
Fk at sports

Hieahout eins racist",Offensive
98754.png,,Offensive
01235.png,"When yonrre feeling hor»
asi DINvoIrhaAliits onnectods lets tnyagoa

[ae",Offensive
01236.png,Chun,Offensive
01245.png,J and that was the last «,Offensive
01247.png,"je racist if
other race",Offensive
01256.png,"whenwourdehit card
declifig avthe abortion

ani(tireyinaue toute
tlie haly hacks in",Offensive
01295.png,,Offensive
01348.png,,Offensive
01382.png,my body my choice,Negative
01483.png,jpelina no red let's.go io Dalit,Negative
01589.png,has ie AAS,Offensive
01264.png,"you're a special Kinda nuts

x
[ay am
Pe",Positive
01325.png,whenj\yourworldigun team,Positive
01293.png,"WNeENVOU Longet tO

ASD VOU ands",Positive
01327.png,"im not sick, fm Mwisteta,

rf Bes

sick makes it sound
like there's acure",Negative
01268.png,"fatheranditaughtenhonding
tine is tie hast

os)

,

like anienerenpourtante,",Positive
01269.png,pay,Negative
01274.png,taba renso ¥,Negative
01275.png,"if you think t willl stop
eating palony and viannas

SHunU,",Negative
01329.png,Satie up motherinehers,Negative
01276.png,"= asmile is aes: x
af a

——ii0usant-worls—",Positive
01359.png,,Positive
01467.png,,Offensive
01389.png,"SSIONEVEHMSUNUAVEAnOUNONKUNCH time

itake my cal to the mall and make
neonle take pictures of us",Positive
01452.png,,Positive
01476.png,im confident in my own skin,Positive
01527.png,,Positive
01459.png,"*

Lsiiiniongutimnss .",Negative
01364.png,,Offensive
01349.png,,Offensive
01392.png,"hellojesus

thanks fo or nak a ]",Positive
98752.png,,Positive
98731.png,"Peo

[4 farted",Positive
98726.png,,Offensive
